Run #,Sample #,iR drop (Ω),Pt,Pd,Au,Ir,Oonset,Omax,Omin,Tafel slope,overP0
Run10-2,27,72.59,0.5273,0.1176,0.3237,0.0314,1.17,1.25,1.4,5.73,0.766577912
Run10-2,28,59.39,0.4087,0.1258,0.4146,0.0509,1.18,1.27,1.42,4.33,0.724707444
Run10-2,30,59.64,0.1975,0.0984,0.5921,0.1119,1.26,1.36,1.44,4.08,0.70115776
Run10-2,32,63.65,0.1046,0.0912,0.5719,0.2323,1.23,1.37,1.51,3.25,0.626151886
Run10-2,35,58.33,0.4542,0.1072,0.3981,0.0405,1.22,1.31,1.4,3.71,
Run10-2,36,64.56,0.3267,0.1005,0.5033,0.0695,1.25,1.34,1.43,4,0.772537718
Run10-2,37,58.26,0.2258,0.0858,0.5901,0.0984,1.27,1.36,1.44,4.57,0.714573059
Run10-2,38,67.62,0.1493,0.0806,0.6372,0.1329,1.27,1.36,1.46,4.78,0.68966024
Run10-2,39,60.39,0.1098,0.0749,0.626,0.1894,1.25,1.37,1.48,4.28,0.631912549
Run10-2,40,65.45,0.0868,0.0861,0.555,0.2721,1.22,1.38,1.54,1.6,0.599940046
Run10-2,41,58.17,0.4761,0.092,0.3936,0.0383,1.24,1.33,1.41,2.36,
Run10-2,42,56.92,0.3729,0.0909,0.4797,0.0566,1.23,1.33,1.44,3.56,0.759075299
Run10-2,43,58.92,0.2573,0.0782,0.5824,0.0821,1.27,1.36,1.45,4.13,0.727233032
Run10-2,44,60.95,0.17,0.0678,0.6538,0.1084,1.27,1.37,1.46,4.48,0.686967108
Run10-2,45,79.08,0.1232,0.0679,0.6599,0.149,1.27,1.37,1.47,4.86,0.669030138
run11-2,1,48.63,0.2022,0.253,0.4393,0.1055,1.25,1.36,1.46,5.04,0.720576083
run11-2,2,56.26,0.1438,0.2394,0.4781,0.1387,1.23,1.36,1.47,3.94,0.627830156
run11-2,3,59.75,0.1079,0.2247,0.4793,0.1881,1.22,1.36,1.47,5.27,0.608012797
run11-2,4,60.87,0.0743,0.2115,0.4438,0.2703,1.24,1.37,1.47,4.38,0.570853052
run11-2,5,68.81,0.0541,0.1918,0.3745,0.3796,1.19,1.36,1.49,4.04,
run11-2,6,51.77,0.3033,0.1987,0.4302,0.0678,1.18,1.27,1.42,4.6,0.678544564
run11-2,7,55.9,0.2191,0.1881,0.4972,0.0956,1.24,1.35,1.45,4.94,0.698912651
run11-2,8,52.39,0.1544,0.1669,0.5517,0.127,1.25,1.36,1.46,4.98,0.664854111
run11-2,9,48.52,0.1015,0.1495,0.5707,0.1783,1.24,1.36,1.46,5.9,0.642059193
run11-2,10,73.44,0.0811,0.141,0.5254,0.2524,1.23,1.36,1.48,5.18,0.592936601
run11-2,11,72.69,0.0588,0.1365,0.4358,0.3689,1.21,1.35,1.48,3.37,
run11-2,12,79.19,0.0417,0.1253,0.3351,0.4979,1.2,1.35,1.48,3.08,0.480708345
run11-2,13,52.51,0.3362,0.1524,0.449,0.0624,1.18,1.28,1.42,4.55,0.70381129
run11-2,14,51.62,0.2435,0.1388,0.5317,0.0859,1.23,1.33,1.45,4.94,0.716867093
run11-2,15,51.64,0.1622,0.1254,0.596,0.1164,1.26,1.36,1.45,5.18,0.684589189
run11-2,16,54.5,0.11,0.1056,0.6252,0.1591,1.26,1.36,1.46,5,0.628097729
run11-2,17,60.87,0.0767,0.0953,0.6023,0.2257,1.23,1.36,1.48,5.86,0.625024712
run11-2,18,75,0.0628,0.1019,0.5044,0.3309,1.21,1.36,1.48,3.29,0.562175858
run11-2,20,42.15,0.3742,0.1144,0.455,0.0564,1.15,1.26,1.45,6.45,0.738583406
run11-2,21,75.09,0.2761,0.1084,0.5391,0.0763,1.2,1.3,1.45,4.44,0.743743113
run11-2,22,52.82,0.1827,0.0979,0.6123,0.1072,1.26,1.36,1.47,4.79,0.730594911
run11-2,23,42.43,0.1146,0.0824,0.6623,0.1406,1.26,1.36,1.46,5.63,0.703476191
run11-2,24,48.5,0.0795,0.07,0.6574,0.1931,1.23,1.36,1.47,6,0.65166707
run11-2,25,56.32,0.0603,0.0688,0.584,0.2869,1.23,1.37,1.49,5.23,0.612666085
run11-2,26,62.15,0.0512,0.0723,0.4638,0.4127,1.2,1.36,1.51,3.8,0.552970457
run11-2,27,46.51,0.4153,0.0994,0.439,0.0463,1.19,1.26,1.41,4.6,0.73123142
run11-2,28,53.51,0.3132,0.0937,0.5264,0.0667,1.21,1.29,1.41,4.68,0.726904584
run11-2,29,49.41,0.2173,0.0732,0.615,0.0945,1.27,1.35,1.46,5.48,0.741853489
run11-2,30,42.25,0.133,0.0667,0.6788,0.1215,1.27,1.36,1.46,5.82,0.727464046
run11-2,31,54.48,0.0874,0.0536,0.6995,0.1595,1.23,1.36,1.51,4.31,0.5801169
run11-2,32,60.56,0.0609,0.0549,0.6538,0.2304,1.24,1.37,1.48,5.62,0.611272922
run11-2,33,66.66,0.0507,0.0578,0.5548,0.3367,1.2,1.37,1.52,4.19,0.603784924
run11-2,34,46.62,0.449,0.0801,0.4301,0.0408,1.19,1.27,1.41,4.67,0.747825551
