,Run #,Run #_EIS,Sample #,x (cm),y (cm),Pt (Atomic%),Pd (Atomic%),Au (Atomic%),Ir (Atomic%),iR drop (Ω),Notes,d_average,EN,IE,SE,d_band,IR,overP0,J0,Voc0,overP1,J1,Voc1,overP2,J2,Voc2,overP3,J3,Voc3,overP4,J4,Voc4
18,run9-2,run9-2,19,3,1,0.1015,0.1821,0.3193,0.3972,81.13,,8.7079,1.461061,8.938177,1.536132,-2.536418,81.12698,,,,0.405901064,0.573061746,1.191295652,0.379789505,0.670298208,1.195104484,0.374172843,0.687850815,1.215093126,0.38142636,0.669930148,1.196986039
19,run9-2,run9-2,20,-3,0,0.571,0.1548,0.2559,0.0183,58.5,,9.3741,1.422963,8.9333,1.283602,-2.517651,58.50029,0.727075146,,1.541264373,0.709101542,,1.521262384,0.707614544,,1.491290757,0.705758117,,1.471128594,0.706482568,,1.461268468
20,run9-2,run9-2,21,-2,0,0.4437,0.1496,0.3574,0.0492,59.51,,9.4077,1.424656,8.963342,1.233792,-2.648249,59.50539,0.712004776,,1.481259655,0.709469263,,1.481263761,0.710058139,,1.471226808,0.709056647,,1.471232759,0.708921138,,1.461274115
21,run9-2,run9-2,22,-1,0,0.3275,0.151,0.4458,0.0758,68.58,,9.4461,1.425976,8.9884,1.189756,-2.760191,68.5798,0.714323657,,1.481284432,0.713476875,,1.541144324,0.718114064,,1.491251103,0.715953029,,1.271215647,0.716607982,,1.249206046
22,run9-2,run9-2,23,0,0,0.2299,0.1456,0.5111,0.1135,59.27,,9.4306,1.429303,9.009756,1.17235,-2.842724,59.26933,0.709739418,,1.471255726,0.709065987,,1.17929271,0.70740203,,1.157272143,0.707626204,,1.247286546,0.708098693,,1.235247487
23,run9-2,run9-2,24,1,0,0.1721,0.1389,0.5193,0.1697,39.96,,9.3188,1.43578,9.01579,1.212032,-2.848187,80.32555,0.691491014,,1.561298482,0.674684496,-1.453171365,1.511248351,0.683857769,-1.842135229,1.311253893,0.680948875,-1.065836422,1.281270601,0.681307864,-0.832963135,1.261245539
24,run9-2,run9-2,25,2,0,0.1406,0.1429,0.4636,0.2529,64.31,,9.1007,1.445686,8.999103,1.31925,-2.761892,64.31039,0.635852694,-2.643309928,1.491265337,0.554290676,0.004175972,1.195298785,0.535525632,0.166906312,1.159220898,0.529986684,0.235015864,1.151149514,0.532117249,0.252350489,1.165247458
25,run9-2,run9-2,26,3,0,0.1102,0.1487,0.3793,0.3618,96.88,,8.8044,1.458829,8.973835,1.46794,-2.633777,96.8841,0.637247699,,1.561240998,0.50809677,0.209989343,1.331257855,0.484379561,0.345721246,1.311298169,0.483511204,0.384391323,1.341237704,0.488165212,0.368764762,1.341187614
26,run9-2,run9-2,27,-3,-1,0.6076,0.1243,0.2557,0.0124,72.59,,9.3552,1.425063,8.952097,1.2833,-2.531025,72.59431,0.73436495,,1.461250781,0.714218106,,1.51127343,0.715605885,,1.501296109,0.712611514,,1.471253322,0.712955322,,1.481278512
27,run9-2,run9-2,28,-2,-1,0.5015,0.1228,0.3399,0.0358,59.39,,9.3911,1.426088,8.975995,1.239922,-2.638681,59.38858,0.723634716,,1.491272087,0.7093957,,1.541191913,0.710410545,,1.51125148,0.710419565,,1.491220419,0.712366198,,1.481282421
